PERMNO,date,TICKER,PRC,VOL,RET
14593,27-11-90,AAPL,37.5,1472675,0.020408
14593,28-11-90,AAPL,36.75,1565806,-0.02
14593,29-11-90,AAPL,36.75,1132491,0
14593,30-11-90,AAPL,36.75,1086591,0
14593,03-12-90,AAPL,38.125,1503276,0.037415
14593,04-12-90,AAPL,38.5,1360420,0.009836
14593,05-12-90,AAPL,40.125,1953533,0.042208
14593,06-12-90,AAPL,41.25,4807078,0.028037
14593,07-12-90,AAPL,42.5,2947574,0.030303
14593,10-12-90,AAPL,41.75,2171468,-0.017647
14593,11-12-90,AAPL,40,3108575,-0.041916
14593,12-12-90,AAPL,39.625,2165924,-0.009375
14593,13-12-90,AAPL,40.75,1434990,0.028391
14593,14-12-90,AAPL,39.875,778698,-0.021472
14593,17-12-90,AAPL,40.125,1172480,0.00627
14593,18-12-90,AAPL,42.25,1976689,0.05296
14593,19-12-90,AAPL,41.875,1260816,-0.008876
14593,20-12-90,AAPL,44,3588255,0.050746
14593,21-12-90,AAPL,45,3098636,0.022727
14593,24-12-90,AAPL,44,526403,-0.022222
14593,26-12-90,AAPL,43.75,921642,-0.005682
14593,27-12-90,AAPL,43.5,873355,-0.005714
14593,28-12-90,AAPL,43,572171,-0.011494
14593,31-12-90,AAPL,43,396936,0
14593,02-01-91,AAPL,43.5,1419636,0.011628
14593,03-01-91,AAPL,43,1343960,-0.011494
14593,04-01-91,AAPL,43.25,1266947,0.005814
14593,07-01-91,AAPL,43.25,2775334,0
14593,08-01-91,AAPL,43.25,1955966,0
14593,09-01-91,AAPL,45.25,4179499,0.046243
14593,10-01-91,AAPL,47.125,3899465,0.041436
14593,11-01-91,AAPL,47,2754308,-0.002653
14593,14-01-91,AAPL,46.25,1918122,-0.015957
14593,15-01-91,AAPL,46.75,1720742,0.010811
14593,16-01-91,AAPL,49.75,3529125,0.064171
14593,17-01-91,AAPL,51.25,5419329,0.030151
14593,18-01-91,AAPL,50.25,8520479,-0.019512
14593,21-01-91,AAPL,50.75,2925622,0.00995
14593,22-01-91,AAPL,51.25,3797348,0.009852
14593,23-01-91,AAPL,51.75,2187040,0.009756
14593,24-01-91,AAPL,52.125,2095578,0.007246
14593,25-01-91,AAPL,53.5,2004468,0.026379
14593,28-01-91,AAPL,54.5,2448374,0.018692
14593,29-01-91,AAPL,53.75,1928490,-0.013761
14593,30-01-91,AAPL,55.5,3018956,0.032558
14593,31-01-91,AAPL,55.5,2170593,0
14593,01-02-91,AAPL,55.75,4035553,0.004505
14593,04-02-91,AAPL,55.25,2395983,-0.008969
14593,05-02-91,AAPL,57.75,3185917,0.045249
14593,06-02-91,AAPL,56.875,2050850,-0.015152
14593,07-02-91,AAPL,57.75,4660301,0.015385
14593,08-02-91,AAPL,59.875,2807489,0.036797
14593,11-02-91,AAPL,61.375,2892892,0.025052
14593,12-02-91,AAPL,60,2023005,-0.022403
14593,13-02-91,AAPL,60,2287598,0
14593,14-02-91,AAPL,57.125,3377106,-0.047917
14593,15-02-91,AAPL,57.625,3267349,0.010853
14593,19-02-91,AAPL,60,2026653,0.041215
14593,20-02-91,AAPL,61,1914060,0.016667
14593,21-02-91,AAPL,59,1709513,-0.032787
14593,22-02-91,AAPL,59.75,2099870,0.012712
14593,25-02-91,AAPL,58,3211192,-0.029289
14593,26-02-91,AAPL,58.25,2234558,0.00431
14593,27-02-91,AAPL,58.25,1558699,0
14593,28-02-91,AAPL,57.25,2031839,-0.017167
14593,01-03-91,AAPL,57.75,1128277,0.008734
14593,04-03-91,AAPL,58.375,791390,0.010823
14593,05-03-91,AAPL,63.125,3964817,0.08137
14593,06-03-91,AAPL,63,4715864,-0.00198
14593,07-03-91,AAPL,67.25,2861791,0.06746
14593,08-03-91,AAPL,65,2899779,-0.033457
14593,11-03-91,AAPL,63.5,1569314,-0.023077
14593,12-03-91,AAPL,62.875,2089651,-0.009843
14593,13-03-91,AAPL,66.25,1561629,0.053678
14593,14-03-91,AAPL,65.25,2031491,-0.015094
14593,15-03-91,AAPL,66.25,1831021,0.015326
14593,18-03-91,AAPL,67.75,1914360,0.022642
14593,19-03-91,AAPL,69.5,3784169,0.02583
14593,20-03-91,AAPL,67.75,3232864,-0.02518
14593,21-03-91,AAPL,64.75,2652776,-0.04428
14593,22-03-91,AAPL,63.25,3021259,-0.023166
14593,25-03-91,AAPL,64.5,1214376,0.019763
14593,26-03-91,AAPL,70,3044695,0.085271
14593,27-03-91,AAPL,69.25,1701419,-0.010714
14593,28-03-91,AAPL,68,704129,-0.018051
14593,01-04-91,AAPL,68.5,1055029,0.007353
14593,02-04-91,AAPL,72.75,2644610,0.062044
14593,03-04-91,AAPL,70,2189846,-0.037801
14593,04-04-91,AAPL,71.5,1580245,0.021429
14593,05-04-91,AAPL,69.375,1400549,-0.02972
14593,08-04-91,AAPL,70,660880,0.009009
14593,09-04-91,AAPL,68.75,1068608,-0.017857
14593,10-04-91,AAPL,66.875,1951160,-0.027273
14593,11-04-91,AAPL,71,3190096,0.061682
14593,12-04-91,AAPL,71.75,3287876,0.010563
14593,15-04-91,AAPL,62.25,15422972,-0.132404
14593,16-04-91,AAPL,64.25,5603052,0.032129
14593,17-04-91,AAPL,63.25,2893598,-0.015564
14593,18-04-91,AAPL,61,2221046,-0.035573
14593,19-04-91,AAPL,59.625,2523425,-0.022541
14593,22-04-91,AAPL,61.5,2297154,0.031447
14593,23-04-91,AAPL,61.5,2120163,0
14593,24-04-91,AAPL,60.75,942425,-0.012195
14593,25-04-91,AAPL,58.5,2818497,-0.037037
14593,26-04-91,AAPL,58.625,1118349,0.002137
14593,29-04-91,AAPL,58.25,1847249,-0.006397
14593,30-04-91,AAPL,55,6356995,-0.055794
14593,01-05-91,AAPL,47.25,16785368,-0.140909
14593,02-05-91,AAPL,49,7250206,0.037037
14593,03-05-91,AAPL,49,2175713,0
14593,06-05-91,AAPL,50.25,1898151,0.02551
14593,07-05-91,AAPL,50.625,2418821,0.007463
14593,08-05-91,AAPL,49.75,1580684,-0.017284
14593,09-05-91,AAPL,50.75,2129708,0.020101
14593,10-05-91,AAPL,51.25,2161112,0.009852
14593,13-05-91,AAPL,52.75,2298828,0.029268
14593,14-05-91,AAPL,53.5,2070678,0.014218
14593,15-05-91,AAPL,50.5,4708583,-0.056075
14593,16-05-91,AAPL,49,3414224,-0.029703
14593,17-05-91,AAPL,47,4209312,-0.040816
14593,20-05-91,AAPL,44.25,2343547,-0.055957
14593,21-05-91,AAPL,45.25,3126665,0.022599
14593,22-05-91,AAPL,46.25,2031700,0.022099
14593,23-05-91,AAPL,45.125,1865792,-0.024324
14593,24-05-91,AAPL,45.875,868871,0.01662
14593,28-05-91,AAPL,46,1532252,0.002725
14593,29-05-91,AAPL,47,3431138,0.021739
14593,30-05-91,AAPL,47.625,1416455,0.013298
14593,31-05-91,AAPL,47,1946971,-0.013123
14593,03-06-91,AAPL,49.25,1966334,0.047872
14593,04-06-91,AAPL,49.125,1647524,-0.002538
14593,05-06-91,AAPL,48,1192682,-0.022901
14593,06-06-91,AAPL,46.625,1506300,-0.028646
14593,07-06-91,AAPL,46.125,1365675,-0.010724
